;;;;;;;
Ano;KM de Ciclovias;N° de Viagens de Bicicleta;;;;;
2007;4;138163;;;ANO;KM;Viagens
2008;4;138163;;;2010;58;145813
2009;4;138163;;;2011;74;147923
2010;58;145813;;;2012;84;149242
2011;74;147923;;;2013;91;150165
2012;84;149242;;;2014;242;170080
2013;91;150165;;;2015;380;188280
2014;242;170080;;;2016;500;204106
2015;380;188280;;;2017;503;204502
2016;500;204106;;;2018;504;204634
2017;503;204502;;;2019;516;206218
2018;504;204634;;;2020;572;213610
2019;516;206218;;;;;
2020;572;213610;;;;;
